name,team,battingStyle,bowlingStyle,playingRole,description
Avishka Fernando,Sri Lanka,Right hand Bat,Right arm Medium fast,Opening Batter,"A bruising right-hander - though not without aptitude for deft touch - Avishka Fernando turned heads while representing St. Sebastian's College, Moratuwa, before making good on his promise at the national Under-19 level."
Michael Richardson ,Germany,Right hand Bat,,Wicketkeeper Batter,"With a proud cricketing heritage in his family, it is hardly surprising that Michael Richardson chose to pursue a career in sport. A wicketkeeper-batsman like his father Dave - the former South Africa gloveman who became chief executive of the ICC in 2012 - he carved out a career at Durham, becoming a Championship winner and reliable contributor across the formats. He even won belated international recognition, making his T20I debut at the age of 32 for Germany, who he qualified for through a German grandfather."
Laxman Gaonkar,Panama,Right hand Bat,,,
Jonathan Hill,Philippines,Right hand Bat,Right arm Medium fast,,
Guido Angeletti,Argentina,Right hand Bat,Right arm Medium,,
Harprit Singh,Mexico,Right hand Bat,Right arm Medium fast,,
Parvez Hossain Emon,Bangladesh,Left hand Bat,,Wicketkeeper Batter,
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,"It looked, for a while, as if Mark Wood would be another of those fast bowlers who promised more than they delivered."
Vinoth Ravindran,Hungary,Right hand Bat,Right arm Medium,,
Ripon Mondol,Bangladesh,Right hand Bat,Right arm Medium,Bowler,
Arshad Iqbal,Pakistan,Right hand Bat,Right arm Medium fast,Bowler,
Mark Bacarese,Gibraltar,Right hand Bat,Right arm Offbreak,,
Shahbaz Ahmed,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Aman Maheshwari,Croatia,Right hand Bat,Left arm Medium fast,,
Zeeshan Kukikhel,Hungary,Right hand Bat,Right arm Fast,,
Dhrumit Mehta,Tanzania,Right hand Bat,Right arm Offbreak,,
Sufiyan Muqeem,Pakistan,Left hand Bat,Left arm Wrist spin,Bowler,
Romeo Nath ,Turkey,Right hand Bat,,,
Harsha Bharadwaj,Singapore,Right hand Bat,Legbreak,,
Peter Nedeljkovic,Serbia,Right hand Bat,,,
Sheikh Rasik,Hungary,Right hand Bat,Right arm Medium,,
Ilyas Ataullah,Turkey,Right hand Bat,Right arm Offbreak,,
Abbas Ghani,Hungary,Right hand Bat,Right arm Medium,,
Roshan Vishwanath,Luxembourg,Right hand Bat,Right arm Medium fast,Middle order Batter,
Muhammad Murad,Qatar,Left hand Bat,Left arm Medium fast,,
Rohit Kumar,Romania,Left hand Bat,,,
Reeza Hendricks,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"Reeza Hendricks has fashioned a reputation as a destructive T20 opener, with crisp shot-making, particularly through the covers, and one adept at pacing a knock and scoring quickly at either end of an innings. "
Sisanda Magala,South Africa,Right hand Bat,Right arm Fast medium,Bowler,"Celebrated as one of the best death bowlers in South Africa and with Dale Steyn as his biggest fan, Sisanda Magala has a good yorker, the ability to change his pace and keep his cool when matters are at their most tense. He is also known as an end-of-innings power-hitter with the kind of all-round qualities needed to succeed in the modern white-ball game. "
Jan Nicol LoftieEaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batting Allrounder,
Omar Willis ,Cayman Islands,Right hand Bat,Legbreak,,
Khengar Bhal Ahir,Panama,Right hand Bat,Right arm Medium,,
Faisal Mubashir,Germany,Right hand Bat,Right arm Offbreak,,
Abdul Shakoor,Germany,Right hand Bat,Right arm Offbreak,,
Zabiullah Zahid,Sweden,Right hand Bat,Right arm Medium fast,,
Dimo Nikolov,Bulgaria,Right hand Bat,Right arm Medium,,
Romeo Nath,Turkey,Right hand Bat,,,
Divyendra Singh,Czech Republic,Right hand Bat,Right arm Medium fast,,
Bhavani Adapaka,Hungary,Right hand Bat,Right arm Offbreak,,
Pikky Ya France,Namibia,Right hand Bat,Right arm Offbreak,Middle order Batter,"Called up to the Namibia Under-19 squad for the first time in 2007, Pikky Ya France played in the opening two games of the African Under-19 Championships but was then dropped. He had problems with his line when bowling and conceded nine wides in five overs. Neverthelss, he was part of the squad for the Under-19 World Cup in 2008 and eventually got his chance with the seniors against Gauteng in the 2010-11 CSA Provincial Three-Day Competition. He got more opportunities with Namibia in 2011, and was part of their squad for the Ireland tour in July. Alan Curr July 2011
"
Vasu Pulibanti,Croatia,Right hand Bat,Right arm Medium,,
Aung Ko Ko,Myanmar,Right hand Bat,Legbreak,,
Ahmadi Ravat,Panama,Right hand Bat,,,
Sherfane Rutherford,West Indies,Left hand Bat,Right arm Fast medium,Middle order Batter,
Rizwan Butt,Bahrain,Right hand Bat,Right arm Medium,Bowler,
Jarryd Allan ,Vanuatu,Right hand Bat,,,
Mohammed Faraazuddin,United Arab Emirates,Right hand Bat,Right arm Offbreak,Allrounder,
Iain Latin(c),Gibraltar,Right hand Bat,Legbreak,,
Rony Talukdar,Bangladesh,Right hand Bat,Right arm Slow medium,Batter,"For two years, in 2014 and 2015, Rony Talukdar kept himself in the forefront of selection meetings. But his tally of 2601 runs could not win him a place in the Bangladesh ODI or Test squads and given how fast-moving cricket has been in the country, there's a danger that his only international appearance could be a sole T20I against South Africa."
Jacob Butler,,Right hand Bat,Right arm Medium,Bowler,
Muhammad Tanveer,Qatar,Right hand Bat,Right arm Medium,,
Basil George,Malta,Right hand Bat,Right arm Medium fast,,
Ravindra Jadeja,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Nazwan Ismail,Maldives,Right hand Bat,Right arm Medium,,
 Apriliandi Rahayu,Indonesia,Right hand Bat,Right arm Medium,,
Kuruge Abeyrathna ,Norway,Right hand Bat,,Wicketkeeper Batter,
Muhammad Nadir,,Left hand Bat,Slow Left arm Orthodox,,
Ali Saleem(c),Norway,Right hand Bat,,,
Fraser Clarke,,Right hand Bat,Right arm Offbreak,,
Muaviath Ganee,Maldives,Right hand Bat,Slow Left arm Orthodox,Batter,
Eric Niyomugabo,Rwanda,Right hand Bat,Right arm Offbreak,,
Supun Navaratne,Japan,Right hand Bat,,Bowler,
Mohamed Issa,Tanzania,Right hand Bat,Right arm Medium,,
Rizwan Mahmood,Denmark,Right hand Bat,,,
Adnan Idrees,Kuwait,Right hand Bat,Legbreak,Batting Allrounder,
Tafseer Ali,Norway,Right hand Bat,Right arm Fast,Allrounder,
Chris Langford,Isle of Man,Left hand Bat,Left arm Fast medium,,
Sohail Ahmed,Bahrain,Right hand Bat,,Middle order Batter,
Tanvir Islam,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,
Justin Pitcher,Bermuda,Left hand Bat,Right arm Medium fast,Allrounder,
Amar Sharma,Malta,Right hand Bat,Right arm Offbreak,,
Ravindu Fernando,Sri Lanka,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Batting Allrounder,"A rarity among Bangladesh allrounders, top-order batter Soumya Sarkar bowls medium pace rather than spin, and occasionally even takes the new ball. "
Edward Walker,,Right hand Bat,Right arm Medium,,
Bryan Zammitt,Gibraltar,,,,
Philip Raikes,Gibraltar,Right hand Bat,,,
Jaison Jerome,Malta,Right hand Bat,Right arm Medium,,
William Cope,Luxembourg,Right hand Bat,Right arm Medium,,
SaifUl Islam,Norway,Right hand Bat,Right arm Medium,,
Bruno Toube,Cameroon,Right hand Bat,Right arm Medium fast,,
Kulbhushan Jadhav,Cameroon,Right hand Bat,Right arm Medium,,
Yousuf Ali,Qatar,Left hand Bat,Slow Left arm Orthodox,Bowler,
Didier Ndikubwimana(c),Rwanda,Right hand Bat,,Wicketkeeper Batter,"Wicketkeeper-batter Didier Ndikubwimana is one of the youngest captains in international cricket, leading Rwanda at the age of 19. He had already played over 30 T20Is by then. In his first match in charge, against Tanzania in August 2023, he scored his maiden international half-century, 69 off 46 balls as opener in a seven-wicket win. In their next assignment, the West Africa Trophy in October that year, Rwanda finished second, winning four and tying one of their ten matches."
Afif Khattak,Switzerland,Right hand Bat,Right arm Medium,,
Yash Singh,Malta,Right hand Bat,Right arm Offbreak,,
Nelson Nhaduate,Mozambique,Right hand Bat,,,
Ashen Bandara,Sri Lanka,Right hand Bat,Legbreak,Middle order Batter,
Asif Bevinje,Romania,Right hand Bat,Right arm Medium,,
Amartya Kaul,Singapore,Right hand Bat,Right arm Medium,Opening Batter,
Ousman Bah ,Gambia,Right hand Bat,Right arm Medium,,
Azhar Andani,Portugal,Right hand Bat,Right arm Medium fast,,
Julien Abega,Cameroon,Right hand Bat,Right arm Medium,,
Abdoulaye Aminou,Cameroon,Right hand Bat,,,
Ben Jones,Estonia,Right hand Bat,Right arm Medium,,
Adil Mehmood,Hong Kong,Right hand Bat,Right arm Medium,Bowler,
Idriss Tchakou,Cameroon,Right hand Bat,Right arm Medium fast,,
Justin Shaju,Malta,Right hand Bat,Right arm Medium fast,,
Surendran Chandramohan,Singapore,Right hand Bat,,Top order Batter,
Moses Williams,Sierra Leone,Right hand Bat,Left arm Medium,,
Gustav Mckeon,France,Right hand Bat,Right arm Medium fast,,
Faraz Akram,Zimbabwe,Left hand Bat,Right arm Medium,Allrounder,
Alexis Balla,Cameroon,Right hand Bat,Right arm Medium fast,,
Lalit Rajbanshi,Nepal,Right hand Bat,Slow Left arm Orthodox,Bowler,
Vaseekaran Aritharan,Germany,Right hand Bat,Right arm Medium,,
Shaof Hassan,Maldives,Right hand Bat,Right arm Medium,,
Jandre Coetzee,Thailand,Left hand Bat,Left arm Medium,,"Jandre Coetzee is a left-arm medium-pace bowler, who is also a handy lower-order batsman.  He has been a standout performer for Griqualand West in the three-day provincial tournament since 2004-05, steering them to titles in that season and in 2007-08. He has captured at least 25 wickets in the tournament for four straight seasons since his debut. Despite that, a permanent place in the Eagles starting XI has proved elusive. Coetzee has had limited opportunities in the game's shortest format, but proved vital to Eagles' qualification to the inaugural Champions League Twenty20. In his first game of the 2009 Pro20 Series, the deciding leg of the semi-final against Warriors, he sent down a nerveless Superover to secure Eagles a finals berth and passage to India.
Siddarth Ravindran October 2009"
Gohar Manan,Romania,Right hand Bat,Right arm Offbreak,,
Pedro Arrighi,Argentina,Right hand Bat,Right arm Medium,Bowler,
Samal Udawaththa,United Arab Emirates,Left hand Bat,Legbreak,Middle order Batter,
Jonathan Ssebanja,Uganda,Right hand Bat,Left arm Medium,,
Jacob Duffy,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,
Mahaj Midda ,Cambodia,Right hand Bat,,,
Shevon Daniel,Sri Lanka,Left hand Bat,Right arm Offbreak,Top order Batter,
Lahiru Udara ,Sri Lanka,Right hand Bat,,Wicketkeeper Batter,
Alex Bushell ,Guernsey,Right hand Bat,,,
Edward Taylor,Chile,Right hand Bat,Legbreak,,
Ashmit Shreshta ,Nigeria,Right hand Bat,,,
Talha Khan,Germany,Left hand Bat,Right arm Offbreak,,
Jitin Singh,Tanzania,Right hand Bat,Right arm Medium,,
Murid Ekrami,Belgium,Left hand Bat,Slow Left arm Orthodox,,
Pyae Phyo Wai,Myanmar,Left hand Bat,Slow Left arm Orthodox,,
Lahiru Samarakoon,Sri Lanka,Left hand Bat,Right arm Fast medium,Allrounder,
Neil Smith,Philippines,,,,
Matias Brasier,Finland,Right hand Bat,Right arm Medium fast,,
Peni Vuniwaqa(c),Fiji,Right hand Bat,Right arm Medium,,
Ye Naing Tun ,Myanmar,Right hand Bat,,,
Alex Carthew,Chile,Right hand Bat,Right arm Offbreak,,
Jamal Vira ,Vanuatu,Right hand Bat,,Wicketkeeper Batter,
Roland Amah,Cameroon,Right hand Bat,Right arm Offbreak,,
Sherab Loday,Bhutan,Right hand Bat,,,
Beston Masauko,Malawi,Right hand Bat,,,
Anthony Roe,Chile,,,,
Vedran Zanko(c),Croatia,Right hand Bat,Right arm Medium fast,,
Alex Carthew(c),Chile,Right hand Bat,Right arm Offbreak,,
Gakul Ghalley,Bhutan,Right hand Bat,,,
Sachin Kumar,Bahrain,Right hand Bat,Right arm Offbreak,,
Waliyu Jackson,Malawi,Right hand Bat,,,
Alen Magdalenic	,Croatia,Right hand Bat,Right arm Medium,,
Alain Toube,Cameroon,Right hand Bat,,Wicketkeeper Batter,
Peni Dakainivanua,Fiji,Right hand Bat,Right arm Offbreak,,
Paing Danu,Myanmar,Right hand Bat,Right arm Medium fast,,
Ko Ko Lin Thu,Myanmar,Right hand Bat,Right arm Medium fast,,
Marc Taylor(c),Bahamas,Left hand Bat,Right arm Offbreak,Opening Batter,
Peni Kotoisuva,Fiji,Right hand Bat,Right arm Medium fast,,
Muhammet Bicer,Turkey,Right hand Bat,Right arm Medium,,
Ma Qiancheng,China,Right hand Bat,Right arm Medium fast,,
Seru Tupou,Fiji,Left hand Bat,Right arm Medium,,
Abhijeet Ahuja(c),Hungary,Right hand Bat,Right arm Medium,,
Myat Thu Aung,Myanmar,Right hand Bat,Right arm Medium fast,,
Praveen Santhanakrishnan,Mexico,,,,
Adit Gorawara ,Hong Kong,Right hand Bat,,Batter,
Wang Qi,China,Right hand Bat,Right arm Medium,,
Amjad Sher(c),Finland,Right hand Bat,Right arm Medium,,
Wei Guo Lei,China,Right hand Bat,,Opening Batter,
Dwight Wheatley,Bahamas,Right hand Bat,,,
Swann Htet Ko Ko,Myanmar,Right hand Bat,,,
Simo Ivetic,Serbia,Right hand Bat,Right arm Medium fast,,
Laxman Gaonkar(c),Panama,Right hand Bat,,,
Andre Jarju,Gambia,Right hand Bat,Right arm Medium,,
Abhitesh Prashar,Hungary,Left hand Bat,Right arm Medium,,
Uraia Sorovakatini,Fiji,Right hand Bat,Right arm Medium fast,,
Mark Fontaine,Hungary,Right hand Bat,Right arm Medium,,
Guillermo Aburto,Chile,Right hand Bat,Right arm Medium fast,,
Nay Lin Htun,Myanmar,Right hand Bat,Right arm Medium fast,,
Jonas Henriksen,Denmark,Right hand Bat,Right arm Medium,,
Mecit Ozturk(c),Turkey,Right hand Bat,Right arm Medium,,
Mohammed Alamgir,Eswatini,Right hand Bat,Right arm Offbreak,,
Gershom Ntambalika,Malawi,Right hand Bat,Right arm Medium,,
Anilkumar Natubhai Ahir ,Panama,Right hand Bat,Left arm Medium,,
Paaras Khari ,Czech Republic,Right hand Bat,,,
Narendra Ekanayake,Bahamas,Left hand Bat,Slow Left arm Orthodox,Bowler,
Thuya Aung,Myanmar,Right hand Bat,,,
Muralitharan Gnanasekaram,Switzerland,Right hand Bat,Right arm Medium,,
Jabari Darrell,Bermuda,Right hand Bat,Left arm Medium fast,,
Ayo MeneEjegi,Serbia,Right hand Bat,Right arm Medium,,
Adit Gorawara,Hong Kong,Right hand Bat,,Batter,
Neeraj Tyagi,Czech Republic,Right hand Bat,Right arm Medium,,
Namgay Thinley,Bhutan,Left hand Bat,Slow Left arm Orthodox,,
Huzaifa Patel,Panama,Right hand Bat,,,
Faizalmahmed Patel,Eswatini,Left hand Bat,Left arm Medium fast,,
Rafaqat Ali,Norway,Right hand Bat,Right arm Medium,,
Tim Seifert,New Zealand,Right hand Bat,,Wicketkeeper Batter,
Jonty Jenner,Jersey,Right hand Bat,Right arm Offbreak,,
Naveed Ahmed,Czech Republic,Right hand Bat,Right arm Offbreak,,
Aoga Leutogi,Samoa,,,,
Benjamin Constanzo,Chile,,,,
Zong Yuechao,China,Left hand Bat,Left arm Medium fast,,
Vinoth Ravindran(c),Hungary,Right hand Bat,Right arm Medium,,
Ignacio Lisboa,Chile,Right hand Bat,Right arm Medium fast,,
Raag Kapur,Hong Kong,Right hand Bat,Right arm Medium fast,,
Sumon Khan,Bangladesh,Left hand Bat,Right arm Medium,Bowler,
Ritik Tomar,Czech Republic,Right hand Bat,Right arm Medium fast,,
Saif Hassan(c),Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter,"Saif Hassan is a compact opening batsman, whose appetite for batting for long periods in Bangladesh's age-group, domestic and representative cricket pushed him onto the international stage at the age of 21. Scores of 117 against Sri Lanka A and a double-hundred five days later in the domestic first-class tournament gave the selectors enough reason to pick him in the Test squad to play India, but he could not debut as expected in the second Test after injuring his right hand while taking a superb catch at gully as a substitute fielder in the first. "
Mousom Dhakal,Nepal,Right hand Bat,Right arm Offbreak,,
Tenzin Wangchuk,Bhutan,Right hand Bat,Right arm Medium,,
Ivan Splicevic ,Croatia,Right hand Bat,,,
Lucas Rossi,Argentina,Right hand Bat,Legbreak,,
Karthik Meiyappan,United Arab Emirates,Right hand Bat,Legbreak,Bowler,
Jovan Reb,Serbia,Right hand Bat,Legbreak,Middle order Batter,
Mrittunjoy Chowdhury,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler,
Jaker Ali ,Bangladesh,Right hand Bat,,Batter,
Turan Brown,Bahamas,,,,
Savindra Amaradasa,Maldives,Right hand Bat,Right arm Offbreak,,
Aaryan Menon,Singapore,Right hand Bat,Right arm Medium fast,,
Ivan Matic,Croatia,Right hand Bat,Right arm Medium,,
Sivakumar Periyalwar ,Romania,Right hand Bat,Right arm Medium fast,,
Junior Scott,Bahamas,Right hand Bat,Right arm Medium,,
Abdallah Jabiri,Tanzania,Right hand Bat,,,
Abishek Kheterpal,Hungary,Right hand Bat,Right arm Medium,,
Tyrone Kane,Ireland,Right hand Bat,Right arm Medium fast,Bowler,"Once tagged as one of Ireland's most promising batting hopefuls of the last decade from junior level, Tyrone Kane's future in the Ireland men's side has become more dependent on his ability to threaten with the ball as a medium-pace allrounder. Kane was Ireland's leading run scorer at the 2012 U-19 World Cup in Australia and, after his exploits in the tournament, he was named captain of Ireland's U-19 side in 2013 during their failed bid to reach the 2014 edition of the world event held in the UAE. "
Karma Dorji,Bhutan,Right hand Bat,,,
Oshane Thomas,West Indies,Left hand Bat,Right arm Fast,Bowler,
Saif Hassan,Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter,"Saif Hassan is a compact opening batsman, whose appetite for batting for long periods in Bangladesh's age-group, domestic and representative cricket pushed him onto the international stage at the age of 21. Scores of 117 against Sri Lanka A and a double-hundred five days later in the domestic first-class tournament gave the selectors enough reason to pick him in the Test squad to play India, but he could not debut as expected in the second Test after injuring his right hand while taking a superb catch at gully as a substitute fielder in the first. "
Aleksa Djorovic,Serbia,Right hand Bat,Left arm Wrist spin,,
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
